,ID,Demographic,Value,Joining Date
0,490910,Ethnicity,White,2023-01-03
1,490910,Date of Birth,5/23/1981,2023-01-03
2,490910,Account Type,Basic,2023-01-03
3,369221,Ethnicity,Black,2023-01-18
4,369221,Date of Birth,3/4/2019,2023-01-18
5,369221,Account Type,Platinum,2023-01-18
6,568991,Ethnicity,White,2023-01-16
7,568991,Date of Birth,4/27/1979,2023-01-16
8,568991,Account Type,Gold,2023-01-16
9,191607,Ethnicity,White,2023-01-09
10,191607,Date of Birth,3/15/1963,2023-01-09
11,191607,Account Type,Gold,2023-01-09
12,612794,Ethnicity,Asian,2023-01-29
13,612794,Date of Birth,11/12/1981,2023-01-29
14,612794,Account Type,Basic,2023-01-29
15,863243,Ethnicity,Other,2023-01-01
16,863243,Date of Birth,12/30/2007,2023-01-01
17,863243,Account Type,Platinum,2023-01-01
18,893948,Ethnicity,White,2023-01-01
19,893948,Date of Birth,9/1/2013,2023-01-01
20,893948,Account Type,Gold,2023-01-01
21,784685,Ethnicity,White,2023-01-29
22,784685,Date of Birth,6/17/1968,2023-01-29
23,784685,Account Type,Platinum,2023-01-29
24,871764,Ethnicity,White,2023-01-02
25,871764,Date of Birth,10/29/1967,2023-01-02
26,871764,Account Type,Gold,2023-01-02
27,119237,Ethnicity,Other,2023-01-15
28,119237,Date of Birth,9/18/2012,2023-01-15
29,119237,Account Type,Platinum,2023-01-15
30,527712,Ethnicity,White,2023-01-02
31,527712,Date of Birth,9/27/1996,2023-01-02
32,527712,Account Type,Platinum,2023-01-02
33,806804,Ethnicity,Other,2023-01-28
34,806804,Date of Birth,10/5/1948,2023-01-28
35,806804,Account Type,Basic,2023-01-28
36,604893,Ethnicity,White,2023-01-04
37,604893,Date of Birth,11/10/1959,2023-01-04
38,604893,Account Type,Platinum,2023-01-04
39,683051,Ethnicity,Black,2023-01-13
40,683051,Date of Birth,7/8/1957,2023-01-13
41,683051,Account Type,Basic,2023-01-13
42,772826,Ethnicity,White,2023-01-28
43,772826,Date of Birth,8/29/1978,2023-01-28
44,772826,Account Type,Basic,2023-01-28
45,201696,Ethnicity,Asian,2023-01-14
46,201696,Date of Birth,2/5/1996,2023-01-14
47,201696,Account Type,Gold,2023-01-14
48,742071,Ethnicity,White,2023-01-19
49,742071,Date of Birth,9/22/1968,2023-01-19
50,742071,Account Type,Platinum,2023-01-19
51,491519,Ethnicity,Asian,2023-01-10
52,491519,Date of Birth,4/4/1955,2023-01-10
53,491519,Account Type,Gold,2023-01-10
54,957631,Ethnicity,Black,2023-01-29
55,957631,Date of Birth,6/19/1956,2023-01-29
56,957631,Account Type,Basic,2023-01-29
57,548577,Ethnicity,White,2023-01-23
58,548577,Date of Birth,5/9/1962,2023-01-23
59,548577,Account Type,Basic,2023-01-23
60,471554,Ethnicity,White,2023-01-02
61,471554,Date of Birth,4/22/1990,2023-01-02
62,471554,Account Type,Basic,2023-01-02
63,716354,Ethnicity,Black,2023-01-10
64,716354,Date of Birth,12/18/1997,2023-01-10
65,716354,Account Type,Gold,2023-01-10
66,246208,Ethnicity,White,2023-01-04
67,246208,Date of Birth,9/11/1996,2023-01-04
68,246208,Account Type,Platinum,2023-01-04
69,543545,Ethnicity,Asian,2023-01-08
70,543545,Date of Birth,8/30/1986,2023-01-08
71,543545,Account Type,Basic,2023-01-08
72,733667,Ethnicity,Black,2023-01-20
73,733667,Date of Birth,11/15/1944,2023-01-20
74,733667,Account Type,Platinum,2023-01-20
75,174968,Ethnicity,Other,2023-01-10
76,174968,Date of Birth,9/30/1980,2023-01-10
77,174968,Account Type,Platinum,2023-01-10
78,626975,Ethnicity,Black,2023-01-27
